243.128,96.455,158.618,90.253,0.693,56.238,1.581,3.615,13.597,264.586,0.664,1.414,0.000,64.280,-0.084,3.074,42.669,1.867,0.031,72.877,2.121,376.410,3.000,46.248,-0.958,-0.444,42.759,-1.651,-1.445,157.638
139.751,74.028,111.619,44.266,2.119,104.723,-0.498,2.533,9.437,168.638,2.126,-1.042,0.619,31.997,1.481,1.614,68.028,-0.056,-2.655,20.147,0.447,252.698,2.000,36.798,0.269,-1.254,31.816,-1.849,0.664,68.614
116.217,73.136,59.239,101.850,0.625,85.539,2.979,1.922,28.049,202.636,1.966,0.577,0.000,20.894,-2.359,1.423,41.074,-0.807,0.289,68.144,1.816,271.485,2.000,82.453,2.066,-1.210,58.216,1.442,-2.288,140.669
64.544,0.099,28.945,341.418,2.390,358.936,-1.181,0.714,35.293,508.349,3.894,1.010,0.963,20.102,0.446,-2.483,78.270,-0.264,-2.408,243.099,-2.409,470.806,3.000,331.152,-1.693,0.615,41.742,0.697,1.083,409.977
32.281,67.393,26.006,29.088,1.330,108.191,-0.362,0.846,48.389,152.087,1.252,-1.084,0.880,28.195,-0.076,2.496,35.312,0.046,1.659,32.186,-1.421,244.220,2.000,48.198,0.949,1.517,40.382,-0.382,-2.029,88.580
135.018,97.900,106.636,77.614,2.530,239.596,-1.207,2.698,66.300,320.620,5.094,0.426,0.419,22.294,1.434,1.405,113.555,0.552,-1.145,21.931,1.605,257.142,3.000,96.266,0.638,2.543,45.109,-1.892,-1.956,184.771
186.298,82.082,155.701,31.704,4.099,290.505,-3.715,3.152,30.062,183.909,1.896,-1.381,0.860,26.143,1.489,-1.996,49.557,-1.491,-0.969,35.315,1.783,212.263,3.000,38.719,-2.745,1.539,36.306,1.353,2.873,108.209
125.681,35.060,51.208,260.849,4.189,1055.752,-3.997,1.046,4.376,364.432,0.977,1.406,0.721,50.330,1.239,2.740,49.166,1.823,1.872,170.658,2.257,338.796,2.000,146.445,-1.470,-0.636,118.492,2.718,-1.139,264.937
112.183,65.499,58.901,33.321,5.136,570.188,-5.960,3.056,1.274,144.173,1.136,1.278,0.921,26.542,-0.646,-1.663,30.165,-0.061,1.621,35.989,-1.740,169.266,2.000,48.026,1.772,2.181,39.439,-3.364,-0.214,87.466
101.222,13.985,55.675,209.101,2.411,453.944,-1.420,0.982,20.404,385.977,1.019,0.438,0.548,54.113,0.152,0.444,55.131,1.116,0.631,102.377,0.817,518.757,2.000,177.460,-1.024,-3.044,99.273,1.387,-1.321,276.733
